Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2013;4010;0;2B;2B150;Lumio;;NC24G73;27/08/2013 15:12;;100
2015;5070;0;2A;2A362;Zonza;MANGHJA GATTA;NB86E04;05/09/2015 22:33;3;3500
2016;3601;0;2B;2B281;Sisco;;NC88C23;06/07/2016 14:50;;10
2016;5866;0;2B;2B042;Borgo;MARANA KANTEEN;NC84E95;23/08/2016 15:21;;40000
2016;5885;0;2B;2B148;Lucciana;parking casamozza;NC84C54;25/08/2016 12:13;;21300
2017;3163;0;2B;2B185;Oletta;LECLERC rd82;NC66H24;05/07/2017 13:17;;150
2018;3669;0;2A;2A048;Calcatoggio;Plage du Grand Bleu;NB28F63;26/08/2018 13:46;;1150
2020;2526;0;2A;2A198;Ota;Porto Village;NC20C82;08/07/2020 15:26;;30
2020;4290;0;2A;2A027;Azzana;Collu Gualdu;NC40C13;16/08/2020 16:21;;10
2021;3890;0;2B;2B002;Aghione;;NC80C14;14/07/2021 10:14;;33400
