Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2012;1859;0;11;11185;Lagrasse;Champ de Nicolas;GC28B31;25/02/2012 15:51;3;1
2012;6406;0;11;11262;Narbonne;Arboretum Moulin Rey;GC48G74;17/07/2012 15:41;;5700
2012;8794;0;34;34041;Brignac;Sarrusse;GD84G35;12/08/2012 15:15;3;60
2012;8804;0;11;11021;Axat;Varseilles;FC84F75;26/08/2012 17:21;;12200
2013;2465;0;11;11081;Caunes-Minervois;La Cabrerisse;GD00H62;11/07/2013 16:05;;100
2013;3002;0;66;66195;Soler (Le);RD85;GC24K0;27/07/2013 14:51;3;30000
2013;3000;0;66;66190;Salses-le-Château;mas Guiter;GC44E7;30/07/2013 11:38;3;15000
2013;3319;0;11;11369;Sallèles-d'Aude;Ecluse de Moussoulens;GD40F2;01/08/2013 17:55;3;350
2013;3517;0;11;11262;Narbonne;Côte des Roses;GC68D61;12/08/2013 00:16;;10
2013;4507;0;11;11069;Carcassonne;Centre Hospitalier;GC08A94;03/09/2013 16:46;;3000
2013;5597;0;66;66085;Fuilla;RD6;GC02A5;22/10/2013 17:02;3;10000
2014;4757;0;34;34123;Juvignac;MIJOULAN CONVOI EXCEPTIONNEL;HD04K44;13/05/2014 11:20;;605000
2014;4760;0;34;34197;Péret;LES COSTES RD 128 E 5;GD84D14;13/05/2014 13:43;3;20500
2014;4631;0;34;34024;Balaruc-le-Vieux;LES MOLIERES;HD02F41;26/07/2014 16:36;1;4800
2015;3749;0;34;34072;Celles;LES ¨PRADINES;GD84C51;08/07/2015 19:58;1;6200
2015;3801;0;34;34069;Cazouls-lès-Béziers;CLAIRAC;GD60B93;20/07/2015 15:10;;4500
2015;4617;0;34;34172;Montpellier;RUE DANIEL MAYER;HD04L42;23/07/2015 16:57;3;200
2015;3694;0;34;34095;Fabrègues;PUECH ROUSSET;HD02L91;28/07/2015 15:43;1;6000
2016;3582;0;30;30334;Uzès;parc les marroniers;HD68D6;10/07/2016 17:16;3;100
2016;4394;0;34;34074;Cessenon-sur-Orb;REALS;GD62A34;25/07/2016 17:53;;6000
2016;5473;0;34;34313;Tressan;D 32 LES CONDAMINES;GD84G15;18/08/2016 21:19;3;350
2016;5990;0;34;34172;Montpellier;LES HAUTS DE MASSANE;HD04L42;24/08/2016 15:07;;1700
2016;5991;0;34;34270;Saint-Jean-de-Védas;;HD24A1;24/08/2016 17:07;3;3500
2017;1875;0;34;34123;Juvignac;NAUSSARGUES;HD04K41;21/05/2017 15:59;;2924
2017;9175;0;66;66016;Banyuls-sur-Mer;sentier du littoral;GC60D93;10/08/2017 19:04;3;800
2017;5451;0;34;34172;Montpellier;CHAMBERT;HD24A41;14/08/2017 18:22;;2118
2018;3076;0;34;34158;Minerve;COUPIAC;GD20H85;05/08/2018 10:06;3;1230
2019;2774;0;34;34031;Bessan;SAINTE VEZIANE;GD80D95;20/06/2019 19:20;;556
2019;7927;0;66;66016;Banyuls-sur-Mer;route de cerbère;GC60C92;12/08/2019 22:43;3;2000
2019;6048;0;34;34070;Cébazan;COL DE FONTJUN;GD42F23;06/09/2019 17:48;;758
2020;1230;0;48;48098;Molezon;LES CABANNES;HE00E7;15/04/2020 12:50;3;93400
2021;5258;0;34;34007;Aigues-Vives;PAGUIGNAN;GD20L81;16/08/2021 19:31;3;67160
2021;5975;0;34;34154;Mauguio;MAS GRAND TRAVERS;HD24K05;29/08/2021 03:58;3;17607
2022;3106;0;34;34108;Frontignan;LES SALINS;HD02K4;16/06/2022 20:11;3;100
2022;3890;0;34;34172;Montpellier;av guilhem de poitiers;HD04L4;05/07/2022 15:35;3;618
