Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2012;4706;0;4;4023;Bayons;RTE DE LA GINESTE;LE02D61;16/03/2012 14:12;3;6000
2012;5780;0;83;83129;Six-Fours-les-Plages;Rue Fauvette;KC88C75;12/07/2012 13:15;6;300
2012;7900;0;83;83032;Carcès;Les Bastidettes;LD02E82;04/08/2012 20:24;3;100
2012;7989;0;83;83061;Fréjus;Piste G28 Rossignol;LD44K11;21/08/2012 14:28;4;300
2012;8966;0;13;13015;Bouc-Bel-Air;la laurane;KD42E74;21/08/2012 14:40;1;100
2014;1396;0;6;6082;Massoins;gite du lac;LD88B83;09/04/2014 13:22;3;172200
2014;2986;0;83;83094;Plan-de-la-Tour (Le);Chemin Préconil;LD42A12;09/07/2014 18:02;3;100
2014;4342;0;6;6025;Broc (Le);LAC DU BROC;LD88E0;10/08/2014 14:40;3;50
2014;4841;0;83;83140;Tourves;Chemin St-Sébastien;KD82F42;24/08/2014 10:09;3;20
2015;1197;0;6;6012;Beausoleil;moyenne corniche;MD06F7;15/05/2015 13:39;3;5000
2015;1900;0;6;6026;Cabris;promenade saint jean;LD66C0;23/06/2015 13:13;3;200
2015;3464;0;13;13041;Gardanne;Sire Martin;KD42H5;25/07/2015 15:30;1;150
2015;4062;0;83;83098;Pradet (Le);Chemin Mounine;LC08A84;27/07/2015 21:11;3;20
2015;4397;0;6;6015;Berre-les-Alpes;les ourdres;MD08A1;13/08/2015 13:05;3;200
2015;4400;0;6;6091;Peille;col des banquettes;MD08D0;13/08/2015 21:12;3;40
2016;1237;0;6;6066;Gilette;saint pierre;LD88E1;16/04/2016 20:03;3;200
2016;3833;0;83;83069;Hyères;Piste C10-La Roquette;LC08E95;14/07/2016 18:51;3;73000
2016;3845;0;83;83064;Garéoult;Chemin du Stelladou;KD82L05;15/07/2016 16:56;3;75000
2016;3915;0;4;4152;Pierrevert;ancien chemin de manosque pertuis vers lub20;KD66G6;17/07/2016 14:40;3;17
2016;3911;0;83;83004;Arcs (Les);A8, sens Aix-Nice, pk116;LD22L82;18/07/2016 13:23;1;1500
2016;3983;0;6;6136;Sospel;ch cantamerlou;MD08F4;18/07/2016 17:50;3;1264
2016;5727;0;13;13081;Rognac;Tamaris;KD22H72;10/08/2016 15:09;1;26630000
2016;5615;0;4;4219;Thorame-Haute;vallon clot de la colle;LE40A1;21/08/2016 16:02;3;150
2017;2085;0;83;83086;Muy (Le);Chemin des PIns Parasols;LD42B94;09/06/2017 01:37;3;530
2017;2212;0;83;83072;Lorgues;Chemin du Train des Pignes;LD24B01;16/06/2017 17:50;3;100
2017;3119;0;83;83005;Artignosc-sur-Verdon;Camping;LD06B25;04/07/2017 14:24;6;20
2017;4638;0;83;83049;Cuers;Chemin Hauts du Pas Redon;LD00B64;18/07/2017 16:11;3;200
2017;4425;0;6;6129;Saint-Sauveur-sur-Tinée;la bergiu;LE80B4;25/07/2017 00:03;3;2360
2017;4672;0;83;83068;Grimaud;Rte du Plan de la Tour;LD40B92;28/07/2017 14:44;3;1000
2017;5964;0;83;83051;Entrecasteaux;la jonquiere;LD04H04;16/08/2017 12:33;1;4600
2017;6767;0;13;13004;Arles;d17;HD84D9;12/09/2017 15:52;1;400
2017;8030;0;6;6003;Andon;IMPASSE FLORE DE THEAS;LD66A8;22/10/2017 15:19;3;550
2017;8409;0;83;83021;Bras;RD28;KD82H74;29/10/2017 13:05;3;11500
2018;3480;0;83;83126;Seyne-sur-Mer (La);La Petite Garenne;KC88E81;26/08/2018 06:14;3;5000
2019;1319;0;6;6120;Saint-Étienne-de-Tinée;MOUREFRET;LE62F1;01/04/2019 11:33;3;3000
2019;3234;0;83;83067;Gonfaron;Chemin St-Jean;LD22B14;05/07/2019 17:19;1;8000
2019;4193;0;6;6099;Puget-Théniers;LE VILLAGE;LD68C7;22/07/2019 14:45;3;300
2019;4725;0;6;6065;Gaude (La);CH DE CAGNES;LD86E4;31/07/2019 16:12;3;100
2020;5213;0;13;13077;Port-de-Bouc;les arcades;KD02H4;07/07/2020 17:10;3;10
2020;3182;0;4;4135;Moustiers-Sainte-Marie;rd 957;LD06H7;01/08/2020 10:21;3;20
2020;5267;0;13;13040;Fuveau;monts aurelien;KD62C7;03/08/2020 15:01;3;100
2020;3863;0;83;83007;Aups;Gréoune;LD04G73;16/08/2020 15:30;1;200
2020;5421;0;13;13073;Peypin;carla;KD62A3;20/08/2020 17:25;1;50
2020;5437;0;13;13041;Gardanne;;KD42H5;31/08/2020 18:13;3;20
2021;2660;0;13;13060;Meyreuil;a8;KD42K9;07/04/2021 12:09;3;40
2021;4605;0;83;83118;Saint-Raphaël;4481 av. des Golfs, Camping Estérel;LD62C94;06/07/2021 19:13;3;40
2021;4687;0;83;83031;Cannet-des-Maures (Le);RD 558;LD22F14;30/07/2021 18:29;1;2000
2021;7602;0;83;83015;Bauduen;Sulagran;LD06D33;20/08/2021 16:34;3;8700
2022;1883;0;83;83015;Bauduen;RD49;LD06G01;03/02/2022 14:20;3;40000
2022;1942;0;83;83107;Roquebrune-sur-Argens;Av. des Druides;LD42H35;25/02/2022 15:56;3;20
2022;2075;0;83;83140;Tourves;Impasse Verger;KD82F61;11/04/2022 14:43;3;1000
2022;2746;0;13;13023;Ceyreste;;KD60F3;09/06/2022 20:40;3;100
2022;3096;0;5;5045;Crots;chanterenne;LE24D8;16/06/2022 21:05;3;800
2022;5979;0;13;13103;Salon-de-Provence;;KD24B6;22/06/2022 17:27;3;1500
